Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,Country,Category,Sub-Category,Sales Rep,Quantity,Sales,Cost,Profit,Discount,Profit Margin
ORD-1024,2023-06-30,2023-07-02,First Class,Home Office,Asia Pacific,Australia,Technology,Copiers,Rep_001,3,1141.53,812.04,329.49,0.2,28.86
ORD-1025,2024-11-16,2024-11-19,Second Class,Home Office,Latin America,Argentina,Office Supplies,Binders,Rep_002,10,883.5,661.0,155.75699999999998,0.1,17.63
ORD-1026,2023-02-08,2023-02-12,Express,Home Office,North America,Canada,Office Supplies,Binders,Rep_018,13,165.77,99.63,66.14,0.1,39.9
ORD-1027,2024-05-26,2024-05-27,Standard,Home Office,Europe,Spain,Furniture,Furnishings,Rep_015,2,463.15,331.46,131.69,0.0,28.43
ORD-1028,2023-07-09,2023-07-10,Second Class,Corporate,North America,Canada,Furniture,Tables,Rep_017,10,12516.41,8411.5,4104.9,0.0,32.8
ORD-1029,2024-07-25,2024-07-27,Express,Corporate,Latin America,Brazil,Office Supplies,Storage,Rep_013,15,1071.8,672.74,279.342,0.0,26.06
ORD-1030,2024-10-31,2024-11-07,Standard,Corporate,Asia Pacific,China,Office Supplies,Pens,Rep_005,9,823.771,387.58,344.526,0.2,41.82
ORD-1031,2024-09-29,2024-10-04,Standard,Consumer,Europe,Spain,Technology,Copiers,Rep_001,16,21151.149999999998,12376.34,4544.58,0.05,21.49
ORD-1032,2023-03-17,2023-03-22,Standard,Corporate,Europe,Spain,Office Supplies,Paper,Rep_014,5,69.72,46.18,23.55,0.3,33.78
ORD-1033,2023-08-06,2023-08-08,Express,Consumer,Europe,Spain,Technology,Accessories,Rep_005,10,19008.34,14775.87,4232.47,0.0,22.27
ORD-1034,2024-03-17,2024-03-21,Standard,Home Office,Latin America,Brazil,Technology,Phones,Rep_002,17,36997.05,21525.8,5650.295,0.15,15.27
ORD-1035,2024-01-15,2024-01-19,Standard,Home Office,North America,United States,Technology,Accessories,Rep_005,12,12043.5,7633.06,2001.74,0.2,16.62
ORD-1036,2023-01-12,2023-01-14,Standard,Home Office,Asia Pacific,Japan,Furniture,Chairs,Rep_018,3,1713.53,1252.84,460.69,0.0,26.89
ORD-1037,2024-02-22,2024-02-27,Standard,Corporate,Asia Pacific,China,Office Supplies,Storage,Rep_018,13,1588.288,742.63,670.7819999999999,0.05,42.23
ORD-1038,2024-01-29,2024-02-04,Express,Home Office,North America,United States,Office Supplies,Paper,Rep_016,4,161.37,121.88,39.49,0.0,24.47
ORD-1039,2024-01-04,2024-01-09,Second Class,Home Office,Asia Pacific,China,Office Supplies,Paper,Rep_009,17,1232.3220000000001,662.91,399.0419999999999,0.0,32.38
ORD-1040,2023-06-26,2023-07-01,Standard,Consumer,Latin America,Brazil,Technology,Accessories,Rep_007,14,19175.82,13356.04,5819.78,0.05,30.35
ORD-1041,2024-01-31,2024-02-07,Standard,Consumer,North America,Mexico,Technology,Copiers,Rep_016,7,1993.7,1114.69,480.27,0.0,24.09
ORD-1042,2023-06-12,2023-06-18,Standard,Corporate,Asia Pacific,China,Office Supplies,Pens,Rep_015,12,844.35,647.95,196.4,0.15,23.26
ORD-1043,2024-10-14,2024-10-19,Standard,Home Office,Latin America,Argentina,Technology,Computers,Rep_002,5,6568.6625,3398.08,1299.7949999999998,0.05,19.79
ORD-1044,2024-05-14,2024-05-20,Second Class,Consumer,North America,Mexico,Office Supplies,Paper,Rep_004,4,162.98,100.51,62.47,0.1,38.33
ORD-1045,2024-12-14,2024-12-19,Second Class,Home Office,Europe,France,Office Supplies,Binders,Rep_013,13,565.42,403.88,161.54,0.1,28.57
ORD-1046,2023-01-01,2023-01-06,Standard,Home Office,Asia Pacific,China,Furniture,Chairs,Rep_017,1,413.03,327.39,85.64,0.0,20.73
ORD-1047,2023-05-29,2023-05-30,Express,Consumer,Latin America,Argentina,Technology,Accessories,Rep_004,3,4218.16,2594.53,1623.62,0.0,38.49
ORD-1048,2024-02-19,2024-02-23,Standard,Home Office,North America,United States,Furniture,Tables,Rep_016,11,5426.83,4287.64,1139.19,0.15,20.99
ORD-1049,2024-01-08,2024-01-09,Standard,Corporate,Latin America,Argentina,Furniture,Furnishings,Rep_018,5,7320.76,5836.42,1039.0379999999998,0.1,14.19
ORD-1050,2024-12-24,2024-12-26,First Class,Home Office,North America,United States,Technology,Computers,Rep_006,18,19405.037500000002,11118.82,4405.22,0.2,22.7
ORD-1051,2023-08-30,2023-09-06,Standard,Consumer,Asia Pacific,China,Technology,Accessories,Rep_001,18,35553.39,22401.6,13151.79,0.05,36.99
ORD-1052,2024-11-19,2024-11-24,First Class,Home Office,North America,United States,Furniture,Chairs,Rep_001,16,3288.04,2427.7,860.34,0.05,26.17
ORD-1053,2024-03-12,2024-03-15,Standard,Corporate,Asia Pacific,China,Technology,Phones,Rep_010,19,16435.65625,6979.93,4388.048,0.0,26.7
ORD-1054,2024-03-21,2024-03-24,Standard,Home Office,North America,United States,Furniture,Furnishings,Rep_008,7,7281.42,5126.57,2154.85,0.1,29.59
ORD-1055,2023-02-23,2023-03-01,Second Class,Home Office,Latin America,Brazil,Furniture,Tables,Rep_017,16,12353.03,8450.8,3902.23,0.1,31.59
ORD-1056,2024-03-10,2024-03-14,Express,Corporate,Asia Pacific,Japan,Furniture,Tables,Rep_002,18,15189.914999999999,8033.07,5112.072,0.2,33.65
ORD-1057,2024-04-25,2024-04-27,Second Class,Corporate,Latin America,Chile,Furniture,Bookcases,Rep_019,17,24298.59,15293.89,6303.29,0.2,25.94
ORD-1058,2023-03-10,2023-03-17,Express,Consumer,Europe,Germany,Technology,Computers,Rep_011,11,5701.12,3507.18,2193.95,0.0,38.48
ORD-1059,2024-01-09,2024-01-14,Standard,Home Office,Latin America,Brazil,Office Supplies,Storage,Rep_018,19,168.77,106.96,43.26,0.0,25.63
ORD-1060,2024-05-27,2024-06-03,Express,Corporate,North America,United States,Furniture,Tables,Rep_017,14,7869.95,5228.14,2641.81,0.0,33.57
ORD-1061,2023-08-27,2023-09-03,Express,Consumer,Latin America,Argentina,Office Supplies,Pens,Rep_017,4,326.36,244.65,81.7,0.0,25.03
ORD-1062,2023-02-25,2023-03-04,Express,Home Office,Europe,Germany,Furniture,Furnishings,Rep_014,2,2292.92,1392.57,900.35,0.0,39.27
ORD-1063,2023-12-29,2024-01-02,Standard,Corporate,Asia Pacific,Singapore,Technology,Computers,Rep_006,3,2473.41,1535.92,937.49,0.1,37.9
ORD-1064,2023-09-30,2023-10-05,Standard,Consumer,Asia Pacific,Japan,Furniture,Tables,Rep_017,13,12103.38,8905.92,3197.47,0.1,26.42
ORD-1065,2023-08-16,2023-08-18,Standard,Consumer,Asia Pacific,Japan,Furniture,Bookcases,Rep_012,19,11975.35,7993.42,3981.93,0.15,33.25
ORD-1066,2023-11-11,2023-11-17,Second Class,Consumer,North America,Canada,Technology,Phones,Rep_006,6,3177.71,2008.74,1168.96,0.0,36.79
ORD-1067,2024-10-25,2024-10-29,First Class,Home Office,Asia Pacific,China,Office Supplies,Pens,Rep_008,5,639.119,305.99,259.89599999999996,0.0,40.66
ORD-1068,2024-10-07,2024-10-11,Standard,Corporate,Europe,United Kingdom,Furniture,Furnishings,Rep_019,2,1758.94,1256.45,502.49,0.0,28.57
ORD-1069,2024-02-14,2024-02-20,Express,Consumer,Europe,Spain,Office Supplies,Storage,Rep_020,17,940.69,697.47,243.22,0.1,25.86
ORD-1070,2023-05-19,2023-05-23,Standard,Home Office,Asia Pacific,Singapore,Technology,Accessories,Rep_001,6,4238.27,2656.9,1581.37,0.0,37.31
ORD-1071,2023-06-17,2023-06-20,Standard,Consumer,Europe,Spain,Technology,Accessories,Rep_009,17,4718.47,3277.61,1440.87,0.1,30.54
ORD-1072,2024-08-03,2024-08-09,Standard,Consumer,Europe,Spain,Furniture,Tables,Rep_011,9,3483.02,2353.99,1129.04,0.2,32.42
ORD-1073,2023-12-15,2023-12-19,Standard,Corporate,Latin America,Chile,Technology,Phones,Rep_003,5,8192.1,6005.14,2186.97,0.05,26.7
ORD-1074,2023-02-11,2023-02-12,Second Class,Corporate,North America,Canada,Office Supplies,Storage,Rep_019,6,337.68,232.24,105.44,0.05,31.22
ORD-1075,2024-05-17,2024-05-19,Standard,Home Office,Europe,Germany,Technology,Copiers,Rep_007,19,21172.649999999998,11290.33,5647.79,0.1,26.67
ORD-1076,2023-01-15,2023-01-18,Second Class,Corporate,Asia Pacific,China,Technology,Copiers,Rep_007,4,7982.0,5990.34,1991.66,0.1,24.95
ORD-1077,2023-09-11,2023-09-16,Standard,Consumer,Latin America,Argentina,Furniture,Tables,Rep_010,1,244.08,172.64,71.44,0.0,29.27
ORD-1078,2024-11-26,2024-11-30,Express,Home Office,Asia Pacific,China,Technology,Phones,Rep_004,12,30325.815000000002,11242.77,10386.978,0.05,34.25
ORD-1079,2023-10-10,2023-10-12,Express,Corporate,North America,Mexico,Furniture,Tables,Rep_006,8,5544.28,3645.84,1898.44,0.1,34.24
ORD-1080,2023-07-29,2023-08-05,Standard,Home Office,North America,United States,Office Supplies,Storage,Rep_012,12,704.25,520.67,183.58,0.2,26.07
ORD-1081,2024-08-26,2024-08-31,First Class,Home Office,Asia Pacific,Japan,Technology,Computers,Rep_014,8,21955.147500000003,10567.35,4120.914,0.0,18.77
ORD-1082,2024-09-13,2024-09-15,Second Class,Consumer,Latin America,Argentina,Office Supplies,Paper,Rep_019,8,502.0,339.28,113.904,0.1,22.69
ORD-1083,2023-04-27,2023-04-28,Express,Consumer,Europe,United Kingdom,Office Supplies,Pens,Rep_011,6,227.42,152.23,75.19,0.1,33.06
ORD-1084,2023-06-28,2023-06-30,Express,Corporate,Europe,Spain,Technology,Accessories,Rep_001,17,26723.43,17517.68,9205.76,0.0,34.45
ORD-1085,2023-03-25,2023-03-28,Standard,Home Office,North America,United States,Furniture,Tables,Rep_008,17,8830.38,5845.6,2984.78,0.0,33.8
ORD-1086,2024-12-23,2024-12-30,Express,Consumer,Europe,Spain,Furniture,Chairs,Rep_013,16,14252.44,8738.77,5513.67,0.1,38.69
ORD-1087,2024-05-16,2024-05-18,Standard,Corporate,Latin America,Brazil,Furniture,Tables,Rep_019,4,1418.8,1095.82,226.08599999999998,0.2,15.94
ORD-1088,2023-06-11,2023-06-14,Express,Corporate,Latin America,Brazil,Office Supplies,Pens,Rep_007,8,60.59,39.05,21.55,0.0,35.57
ORD-1089,2023-11-24,2023-11-30,Express,Home Office,Europe,United Kingdom,Office Supplies,Paper,Rep_019,1,57.89,43.08,14.81,0.15,25.58
ORD-1090,2024-05-05,2024-05-08,Standard,Corporate,Latin America,Brazil,Furniture,Chairs,Rep_016,18,2127.65,1312.98,570.2689999999999,0.0,26.8
ORD-1091,2024-07-01,2024-07-05,Second Class,Home Office,North America,Canada,Furniture,Chairs,Rep_005,11,5095.12,3443.99,1651.13,0.05,32.41
ORD-1092,2023-09-13,2023-09-19,Standard,Home Office,Europe,United Kingdom,Furniture,Chairs,Rep_020,12,3553.9,2749.63,804.27,0.05,22.63
ORD-1093,2024-12-21,2024-12-24,Standard,Consumer,Europe,France,Technology,Computers,Rep_008,2,3213.2125,1674.92,895.64,0.0,27.87
ORD-1094,2024-10-27,2024-10-28,Standard,Home Office,Europe,United Kingdom,Technology,Computers,Rep_005,11,22743.024999999998,12844.03,5350.39,0.15,23.53
ORD-1095,2023-01-17,2023-01-22,Standard,Home Office,North America,United States,Furniture,Tables,Rep_010,6,6750.35,4388.71,2361.64,0.1,34.99
ORD-1096,2024-11-15,2024-11-19,Second Class,Corporate,North America,Canada,Technology,Copiers,Rep_014,2,935.6375,559.59,188.92,0.0,20.19
ORD-1097,2023-01-29,2023-02-04,Standard,Consumer,North America,Mexico,Office Supplies,Storage,Rep_007,8,470.47,327.07,143.39,0.1,30.48
ORD-1098,2023-11-08,2023-11-09,Second Class,Home Office,North America,Canada,Office Supplies,Storage,Rep_003,11,939.5,743.19,196.31,0.0,20.9
ORD-1099,2024-05-15,2024-05-20,Standard,Consumer,North America,United States,Technology,Phones,Rep_011,8,8979.1375,4663.98,2519.33,0.15,28.06
ORD-1100,2024-03-10,2024-03-11,Standard,Home Office,Europe,Germany,Furniture,Furnishings,Rep_005,12,14764.83,11699.94,3064.89,0.1,20.76
ORD-1101,2023-01-12,2023-01-13,Express,Home Office,Europe,Spain,Office Supplies,Storage,Rep_017,5,353.83,272.39,81.44,0.0,23.02
ORD-1102,2024-07-24,2024-07-26,Standard,Home Office,Europe,United Kingdom,Technology,Computers,Rep_010,16,37084.6875,18872.1,10795.65,0.05,29.11
ORD-1103,2023-12-01,2023-12-07,Express,Corporate,North America,Mexico,Technology,Accessories,Rep_018,7,6562.71,4623.34,1939.37,0.1,29.55
ORD-1104,2024-09-11,2024-09-12,Express,Consumer,Latin America,Brazil,Furniture,Bookcases,Rep_011,8,5739.56,3908.05,1282.057,0.05,22.34
ORD-1105,2024-02-01,2024-02-06,Standard,Corporate,Europe,United Kingdom,Technology,Computers,Rep_002,3,6550.1,3166.34,2073.74,0.15,31.66
ORD-1106,2024-08-30,2024-09-01,Standard,Consumer,Asia Pacific,Australia,Office Supplies,Binders,Rep_017,12,1007.9680000000001,600.7,244.52399999999997,0.3,24.26
ORD-1107,2023-12-25,2023-12-31,Express,Consumer,Latin America,Brazil,Technology,Computers,Rep_003,13,9639.67,6337.58,3302.09,0.0,34.26
ORD-1108,2024-03-07,2024-03-12,Second Class,Consumer,North America,United States,Furniture,Bookcases,Rep_015,17,11020.8,6886.76,4134.04,0.3,37.51
ORD-1109,2024-01-15,2024-01-19,Second Class,Home Office,Europe,France,Office Supplies,Binders,Rep_013,2,41.74,33.32,8.42,0.0,20.17
ORD-1110,2023-11-06,2023-11-12,Second Class,Corporate,North America,Mexico,Technology,Computers,Rep_011,2,1597.95,970.51,627.44,0.3,39.27
ORD-1111,2023-02-23,2023-03-01,First Class,Home Office,Asia Pacific,Australia,Technology,Phones,Rep_020,17,6614.63,4492.98,2121.65,0.1,32.08
ORD-1112,2023-01-03,2023-01-06,Standard,Consumer,Latin America,Chile,Furniture,Chairs,Rep_015,9,12176.01,9400.19,2775.82,0.05,22.8
ORD-1113,2024-06-24,2024-06-28,Standard,Corporate,North America,Mexico,Technology,Computers,Rep_009,15,24894.787500000002,14143.65,5772.18,0.0,23.19
ORD-1114,2023-11-24,2023-11-29,Standard,Corporate,Asia Pacific,China,Furniture,Tables,Rep_005,16,16905.0,10400.4,6504.6,0.15,38.48
ORD-1115,2023-12-15,2023-12-19,Second Class,Corporate,Asia Pacific,Japan,Office Supplies,Storage,Rep_008,13,394.78,306.24,88.54,0.1,22.43
ORD-1116,2024-07-24,2024-07-27,First Class,Consumer,Latin America,Brazil,Technology,Accessories,Rep_010,4,6281.4625,3771.61,877.492,0.0,13.97
ORD-1117,2023-01-31,2023-02-07,Standard,Home Office,Asia Pacific,Japan,Furniture,Furnishings,Rep_007,18,22412.77,17177.75,5235.02,0.05,23.36
ORD-1118,2024-06-08,2024-06-14,Standard,Consumer,Europe,France,Technology,Phones,Rep_008,2,3215.7749999999996,1821.41,751.21,0.1,23.36
ORD-1119,2024-03-30,2024-03-31,Second Class,Home Office,Europe,United Kingdom,Furniture,Bookcases,Rep_005,4,1373.02,1035.49,337.53,0.2,24.58
ORD-1120,2024-02-05,2024-02-08,Standard,Corporate,Europe,Germany,Technology,Computers,Rep_018,18,44567.7625,26213.35,9440.86,0.05,21.18
ORD-1121,2024-01-16,2024-01-18,Standard,Consumer,Latin America,Chile,Technology,Accessories,Rep_006,15,18803.5125,11343.51,2589.517,0.1,13.77
ORD-1122,2023-10-12,2023-10-14,Second Class,Consumer,Latin America,Brazil,Office Supplies,Paper,Rep_007,15,1207.6,892.1,315.5,0.0,26.13
ORD-1123,2023-03-25,2023-03-26,Standard,Consumer,Europe,France,Office Supplies,Pens,Rep_012,15,673.11,489.83,183.28,0.0,27.23
ORD-1124,2024-05-21,2024-05-24,First Class,Corporate,North America,Canada,Furniture,Bookcases,Rep_003,17,17209.67,11594.25,5615.42,0.15,32.63
ORD-1125,2024-03-05,2024-03-10,First Class,Home Office,North America,United States,Technology,Phones,Rep_014,18,34514.924999999996,20025.4,7586.54,0.0,21.98
ORD-1126,2024-01-13,2024-01-19,Standard,Consumer,Asia Pacific,Singapore,Furniture,Bookcases,Rep_014,7,2504.866,1420.28,709.156,0.05,28.31
ORD-1127,2024-12-26,2025-01-01,First Class,Home Office,Europe,United Kingdom,Technology,Computers,Rep_013,17,1544.025,759.03,476.19,0.0,30.84
ORD-1128,2023-06-15,2023-06-16,Standard,Consumer,Latin America,Chile,Technology,Phones,Rep_006,9,1145.31,797.25,348.06,0.0,30.39
ORD-1129,2023-02-15,2023-02-16,Second Class,Consumer,Latin America,Chile,Furniture,Tables,Rep_010,8,909.43,605.04,304.39,0.05,33.47
ORD-1130,2024-08-11,2024-08-13,Standard,Corporate,Latin America,Argentina,Furniture,Bookcases,Rep_006,7,2668.42,1971.0,488.19399999999996,0.15,18.3
ORD-1131,2023-11-01,2023-11-03,First Class,Home Office,Latin America,Chile,Technology,Accessories,Rep_006,9,16880.52,10303.78,6576.75,0.05,38.96
ORD-1132,2024-11-20,2024-11-22,Standard,Home Office,Latin America,Argentina,Furniture,Bookcases,Rep_007,11,14880.18,10557.76,3025.694,0.15,20.33
ORD-1133,2023-05-07,2023-05-14,Standard,Corporate,North America,Canada,Furniture,Bookcases,Rep_012,12,3880.35,3004.78,875.58,0.0,22.56
ORD-1134,2024-11-15,2024-11-16,Standard,Home Office,Latin America,Brazil,Office Supplies,Paper,Rep_019,12,693.11,515.57,124.285,0.0,17.93
ORD-1135,2024-12-14,2024-12-16,Second Class,Corporate,Asia Pacific,Australia,Technology,Phones,Rep_015,1,2744.4300000000003,1072.17,863.394,0.3,31.46
ORD-1136,2024-02-08,2024-02-15,First Class,Home Office,North America,Canada,Furniture,Chairs,Rep_009,4,564.61,383.43,181.18,0.1,32.09
ORD-1137,2023-10-22,2023-10-25,Second Class,Corporate,Europe,France,Office Supplies,Binders,Rep_012,3,192.55,139.85,52.7,0.1,27.37
ORD-1138,2023-04-10,2023-04-16,Standard,Corporate,Latin America,Argentina,Office Supplies,Binders,Rep_014,2,44.39,34.22,10.17,0.05,22.91
ORD-1139,2024-01-16,2024-01-19,Express,Corporate,Asia Pacific,Japan,Office Supplies,Paper,Rep_007,6,522.223,266.1,189.854,0.0,36.35
ORD-1140,2024-03-24,2024-03-26,Express,Home Office,Latin America,Brazil,Office Supplies,Pens,Rep_011,10,119.82,75.96,30.701999999999998,0.05,25.62
ORD-1141,2023-12-27,2023-12-28,Second Class,Consumer,North America,United States,Office Supplies,Storage,Rep_020,11,824.54,604.19,220.35,0.05,26.72
ORD-1142,2023-06-05,2023-06-07,Standard,Home Office,Asia Pacific,Australia,Furniture,Furnishings,Rep_020,18,26664.66,16654.59,10010.07,0.0,37.54
ORD-1143,2023-04-29,2023-05-04,Standard,Home Office,Asia Pacific,Japan,Technology,Phones,Rep_005,1,1039.11,632.1,407.0,0.0,39.17
ORD-1144,2023-09-08,2023-09-15,Standard,Corporate,Asia Pacific,Japan,Furniture,Chairs,Rep_007,15,12456.33,8327.44,4128.89,0.05,33.15
ORD-1145,2023-11-04,2023-11-10,Second Class,Home Office,Latin America,Argentina,Furniture,Furnishings,Rep_008,18,6546.4,4884.7,1661.7,0.0,25.38
ORD-1146,2023-03-27,2023-04-03,Express,Home Office,Asia Pacific,Japan,Technology,Accessories,Rep_011,10,841.56,546.03,295.53,0.15,35.12
ORD-1147,2024-08-10,2024-08-11,Standard,Consumer,Asia Pacific,Singapore,Technology,Computers,Rep_001,19,58190.32375000001,27407.39,11762.869999999999,0.1,20.21
ORD-1148,2023-08-08,2023-08-15,Second Class,Consumer,Europe,Germany,Furniture,Bookcases,Rep_001,9,13416.05,10068.55,3347.5,0.0,24.95
ORD-1149,2023-11-20,2023-11-25,Second Class,Corporate,Europe,United Kingdom,Furniture,Tables,Rep_019,6,8171.56,6337.68,1833.87,0.0,22.44
ORD-1150,2023-12-10,2023-12-14,Express,Consumer,Europe,Germany,Office Supplies,Paper,Rep_015,1,39.81,27.04,12.77,0.1,32.08
ORD-1151,2024-02-21,2024-02-22,Standard,Corporate,North America,United States,Office Supplies,Storage,Rep_011,3,63.01,45.9,17.11,0.1,27.15
ORD-1152,2023-11-24,2023-12-01,Standard,Consumer,Latin America,Argentina,Furniture,Furnishings,Rep_012,5,3291.76,2357.01,934.75,0.05,28.4
ORD-1153,2023-12-09,2023-12-14,Second Class,Home Office,Europe,Germany,Furniture,Furnishings,Rep_011,13,16267.56,11162.35,5105.21,0.15,31.38
ORD-1154,2024-12-15,2024-12-21,Standard,Corporate,Asia Pacific,Australia,Technology,Phones,Rep_019,2,1216.6212500000001,541.66,289.856,0.05,23.82
ORD-1155,2023-06-05,2023-06-08,Standard,Corporate,Asia Pacific,Singapore,Furniture,Furnishings,Rep_018,2,963.35,657.69,305.66,0.0,31.73
ORD-1156,2023-04-18,2023-04-24,Second Class,Home Office,Europe,France,Technology,Accessories,Rep_017,10,4111.95,3221.92,890.03,0.05,21.64
ORD-1157,2024-01-20,2024-01-21,Second Class,Home Office,Latin America,Brazil,Furniture,Bookcases,Rep_013,9,10901.17,7950.46,2065.504,0.0,18.95
ORD-1158,2024-08-06,2024-08-07,Standard,Consumer,Latin America,Brazil,Furniture,Bookcases,Rep_004,18,20245.34,15593.67,3256.169,0.1,16.08
ORD-1159,2024-11-06,2024-11-07,Standard,Consumer,Europe,United Kingdom,Office Supplies,Binders,Rep_015,17,1275.05,985.05,290.0,0.0,22.74
ORD-1160,2024-10-16,2024-10-18,Standard,Home Office,Asia Pacific,Singapore,Office Supplies,Storage,Rep_010,9,492.98600000000005,272.62,149.23999999999998,0.05,30.27
ORD-1161,2023-09-20,2023-09-23,Express,Corporate,North America,Canada,Office Supplies,Binders,Rep_007,9,637.03,508.51,128.52,0.0,20.17
ORD-1162,2023-04-12,2023-04-13,Standard,Corporate,Europe,Spain,Office Supplies,Paper,Rep_004,8,530.42,381.45,148.97,0.05,28.09
ORD-1163,2024-02-29,2024-03-02,Express,Corporate,Asia Pacific,Singapore,Technology,Phones,Rep_005,12,9861.8975,4296.77,2480.926,0.15,25.16
ORD-1164,2024-01-16,2024-01-20,Standard,Corporate,Europe,France,Furniture,Tables,Rep_012,2,1216.24,971.9,244.35,0.05,20.09
ORD-1165,2024-03-17,2024-03-21,Standard,Home Office,Latin America,Brazil,Technology,Phones,Rep_015,16,16969.637499999997,9293.09,2997.834,0.15,17.67
ORD-1166,2024-10-09,2024-10-10,Second Class,Home Office,Latin America,Chile,Furniture,Chairs,Rep_019,8,1024.3,765.6,181.08999999999997,0.1,17.68
ORD-1167,2023-05-29,2023-06-02,Standard,Home Office,Latin America,Argentina,Furniture,Tables,Rep_001,16,12953.18,8184.61,4768.57,0.0,36.81
ORD-1168,2023-04-24,2023-04-28,Second Class,Corporate,North America,Canada,Technology,Phones,Rep_009,1,645.77,438.74,207.04,0.05,32.06
ORD-1169,2023-09-19,2023-09-24,Standard,Corporate,Asia Pacific,Japan,Office Supplies,Pens,Rep_005,10,526.1,357.45,168.65,0.05,32.06
ORD-1170,2023-08-04,2023-08-06,Standard,Home Office,Europe,Germany,Furniture,Tables,Rep_016,7,3685.86,2271.16,1414.69,0.05,38.38
ORD-1171,2024-04-10,2024-04-16,Second Class,Corporate,Europe,Spain,Furniture,Furnishings,Rep_002,1,1391.86,970.7,421.16,0.1,30.26
ORD-1172,2024-03-11,2024-03-15,Standard,Consumer,Asia Pacific,Australia,Technology,Computers,Rep_013,2,594.53875,221.41,202.244,0.0,34.02
